freq ReZ ImZ ReErrZ ImErrZ C G errC errG
1.018745e+00 1.039702e-01 -2.902822e-03 7.378419e-08 5.143188e-07 4.191979e-02 9.610652e+00 8.299403e-10 4.750486e-05
9.049774e-01 1.040269e-01 -2.583369e-03 6.598211e-08 4.576394e-07 4.195750e-02 9.606972e+00 6.604850e-10 4.223733e-05
8.032129e-01 1.040721e-01 -2.296206e-03 5.975763e-08 4.067137e-07 4.198750e-02 9.604045e+00 5.316722e-10 3.751432e-05
7.132668e-01 1.041077e-01 -2.041401e-03 5.485632e-08 3.615433e-07 4.201107e-02 9.601744e+00 4.338964e-10 3.333194e-05
6.333122e-01 1.041359e-01 -1.814205e-03 5.097694e-08 3.212789e-07 4.202970e-02 9.599927e+00 3.583307e-10 2.960862e-05
5.624297e-01 1.041580e-01 -1.612299e-03 4.791632e-08 2.855047e-07 4.204437e-02 9.598495e+00 2.993280e-10 2.630387e-05
4.995005e-01 1.041756e-01 -1.432706e-03 4.549902e-08 2.536895e-07 4.205595e-02 9.597366e+00 2.525647e-10 2.336720e-05
4.434590e-01 1.041894e-01 -1.272528e-03 4.358489e-08 2.253177e-07 4.206511e-02 9.596472e+00 2.148886e-10 2.075002e-05
3.938558e-01 1.042003e-01 -1.130584e-03 4.207885e-08 2.001784e-07 4.207231e-02 9.595769e+00 1.843205e-10 1.843218e-05
3.496503e-01 1.042090e-01 -1.003967e-03 4.088604e-08 1.777555e-07 4.207801e-02 9.595213e+00 1.590374e-10 1.636561e-05
3.104626e-01 1.042158e-01 -8.916394e-04 3.994663e-08 1.578644e-07 4.208250e-02 9.594775e+00 1.379978e-10 1.453295e-05
2.757100e-01 1.042211e-01 -7.919666e-04 3.920643e-08 1.402152e-07 4.208603e-02 9.594430e+00 1.203000e-10 1.290724e-05
2.448580e-01 1.042253e-01 -7.034405e-04 3.862264e-08 1.245404e-07 4.208882e-02 9.594158e+00 1.052615e-10 1.146368e-05
2.173913e-01 1.042287e-01 -6.245995e-04 3.816095e-08 1.105810e-07 4.209102e-02 9.593943e+00 9.234644e-11 1.017829e-05
1.930502e-01 1.042313e-01 -5.547103e-04 3.779755e-08 9.820687e-08 4.209276e-02 9.593774e+00 8.123226e-11 9.039009e-06
1.714090e-01 1.042334e-01 -4.925591e-04 3.751063e-08 8.720300e-08 4.209413e-02 9.593640e+00 7.158314e-11 8.025984e-06
1.522302e-01 1.042350e-01 -4.374700e-04 3.728479e-08 7.744960e-08 4.209520e-02 9.593535e+00 6.319425e-11 7.128145e-06
1.351717e-01 1.042363e-01 -3.884643e-04 3.710636e-08 6.877339e-08 4.209605e-02 9.593452e+00 5.584660e-11 6.329513e-06
1.200192e-01 1.042373e-01 -3.449295e-04 3.696565e-08 6.106584e-08 4.209673e-02 9.593387e+00 4.939984e-11 5.620077e-06
1.065757e-01 1.042381e-01 -3.063014e-04 3.685478e-08 5.422706e-08 4.209726e-02 9.593335e+00 4.373605e-11 4.990628e-06
9.842520e-02 1.042386e-01 -2.828805e-04 3.679412e-08 5.008061e-08 4.209755e-02 9.593307e+00 4.032535e-11 4.608996e-06
