tau U offset_const cost_const
4.743815e-06 1.318096e-07 2.159377e-07 6.498926e-03
4.833995e-06 3.361998e-07 2.159377e-07 6.498926e-03
4.925891e-06 3.499436e-07 2.159377e-07 6.498926e-03
5.019533e-06 3.347195e-07 2.159377e-07 6.498926e-03
5.114955e-06 3.124262e-07 2.159377e-07 6.498926e-03
5.212191e-06 2.887984e-07 2.159377e-07 6.498926e-03
5.311276e-06 2.659253e-07 2.159377e-07 6.498926e-03
5.412244e-06 2.444018e-07 2.159377e-07 6.498926e-03
5.515132e-06 2.244480e-07 2.159377e-07 6.498926e-03
5.619976e-06 2.062285e-07 2.159377e-07 6.498926e-03
5.726813e-06 1.896525e-07 2.159377e-07 6.498926e-03
5.835680e-06 1.745314e-07 2.159377e-07 6.498926e-03
5.946618e-06 1.607534e-07 2.159377e-07 6.498926e-03
6.059664e-06 1.482039e-07 2.159377e-07 6.498926e-03
6.174860e-06 1.367719e-07 2.159377e-07 6.498926e-03
6.292245e-06 1.263529e-07 2.159377e-07 6.498926e-03
6.411862e-06 1.168505e-07 2.159377e-07 6.498926e-03
6.533752e-06 1.081764e-07 2.159377e-07 6.498926e-03
6.657960e-06 1.002506e-07 2.159377e-07 6.498926e-03
6.784529e-06 9.300068e-08 2.159377e-07 6.498926e-03
6.913504e-06 8.637268e-08 2.159377e-07 6.498926e-03
7.044931e-06 8.030981e-08 2.159377e-07 6.498926e-03
7.178857e-06 7.474473e-08 2.159377e-07 6.498926e-03
7.315328e-06 6.963026e-08 2.159377e-07 6.498926e-03
7.454394e-06 6.494355e-08 2.159377e-07 6.498926e-03
7.596103e-06 6.067824e-08 2.159377e-07 6.498926e-03
7.740507e-06 5.675037e-08 2.159377e-07 6.498926e-03
7.887655e-06 5.312925e-08 2.159377e-07 6.498926e-03
8.037601e-06 4.978729e-08 2.159377e-07 6.498926e-03
8.190397e-06 4.669966e-08 2.159377e-07 6.498926e-03
8.346098e-06 4.384398e-08 2.159377e-07 6.498926e-03
8.504759e-06 4.120004e-08 2.159377e-07 6.498926e-03
8.666436e-06 3.874965e-08 2.159377e-07 6.498926e-03
8.831187e-06 3.647633e-08 2.159377e-07 6.498926e-03
8.999070e-06 3.436519e-08 2.159377e-07 6.498926e-03
9.170144e-06 3.240275e-08 2.159377e-07 6.498926e-03
9.344470e-06 3.057679e-08 2.159377e-07 6.498926e-03
9.522110e-06 2.887623e-08 2.159377e-07 6.498926e-03
9.703127e-06 2.729100e-08 2.159377e-07 6.498926e-03
9.887585e-06 2.581194e-08 2.159377e-07 6.498926e-03
1.007555e-05 2.443072e-08 2.159377e-07 6.498926e-03
1.026709e-05 2.313976e-08 2.159377e-07 6.498926e-03
1.046227e-05 2.193214e-08 2.159377e-07 6.498926e-03
1.066116e-05 2.080153e-08 2.159377e-07 6.498926e-03
1.086383e-05 1.974216e-08 2.159377e-07 6.498926e-03
1.107035e-05 1.874877e-08 2.159377e-07 6.498926e-03
1.128080e-05 1.781650e-08 2.159377e-07 6.498926e-03
1.149525e-05 1.694094e-08 2.159377e-07 6.498926e-03
1.171378e-05 1.611803e-08 2.159377e-07 6.498926e-03
1.193646e-05 1.534402e-08 2.159377e-07 6.498926e-03
1.216337e-05 1.461550e-08 2.159377e-07 6.498926e-03
1.239460e-05 1.392931e-08 2.159377e-07 6.498926e-03
1.263022e-05 1.328254e-08 2.159377e-07 6.498926e-03
1.287033e-05 1.267254e-08 2.159377e-07 6.498926e-03
1.311500e-05 1.209682e-08 2.159377e-07 6.498926e-03
1.336431e-05 1.155312e-08 2.159377e-07 6.498926e-03
1.361837e-05 1.103933e-08 2.159377e-07 6.498926e-03
1.387726e-05 1.055350e-08 2.159377e-07 6.498926e-03
1.414107e-05 1.009385e-08 2.159377e-07 6.498926e-03
1.440989e-05 9.658694e-09 2.159377e-07 6.498926e-03
1.468383e-05 9.246500e-09 2.159377e-07 6.498926e-03
1.496297e-05 8.855835e-09 2.159377e-07 6.498926e-03
1.524742e-05 8.485370e-09 2.159377e-07 6.498926e-03
1.553728e-05 8.133870e-09 2.159377e-07 6.498926e-03
1.583264e-05 7.800188e-09 2.159377e-07 6.498926e-03
1.613362e-05 7.483258e-09 2.159377e-07 6.498926e-03
1.644033e-05 7.182087e-09 2.159377e-07 6.498926e-03
1.675286e-05 6.895747e-09 2.159377e-07 6.498926e-03
1.707134e-05 6.623378e-09 2.159377e-07 6.498926e-03
1.739586e-05 6.364175e-09 2.159377e-07 6.498926e-03
1.772656e-05 6.117386e-09 2.159377e-07 6.498926e-03
1.806355e-05 5.882310e-09 2.159377e-07 6.498926e-03
1.840694e-05 5.658291e-09 2.159377e-07 6.498926e-03
1.875686e-05 5.444717e-09 2.159377e-07 6.498926e-03
1.911343e-05 5.241012e-09 2.159377e-07 6.498926e-03
1.947678e-05 5.046640e-09 2.159377e-07 6.498926e-03
1.984704e-05 4.861098e-09 2.159377e-07 6.498926e-03
2.022433e-05 4.683912e-09 2.159377e-07 6.498926e-03
2.060880e-05 4.514640e-09 2.159377e-07 6.498926e-03
2.100058e-05 4.352866e-09 2.159377e-07 6.498926e-03
2.139980e-05 4.198200e-09 2.159377e-07 6.498926e-03
2.180662e-05 4.050276e-09 2.159377e-07 6.498926e-03
2.222117e-05 3.908746e-09 2.159377e-07 6.498926e-03
2.264360e-05 3.773289e-09 2.159377e-07 6.498926e-03
2.307405e-05 3.643596e-09 2.159377e-07 6.498926e-03
2.351270e-05 3.519382e-09 2.159377e-07 6.498926e-03
2.395968e-05 3.400375e-09 2.159377e-07 6.498926e-03
2.441516e-05 3.286319e-09 2.159377e-07 6.498926e-03
2.487929e-05 3.176974e-09 2.159377e-07 6.498926e-03
2.535225e-05 3.072111e-09 2.159377e-07 6.498926e-03
2.583420e-05 2.971516e-09 2.159377e-07 6.498926e-03
2.632532e-05 2.874986e-09 2.159377e-07 6.498926e-03
2.682577e-05 2.782330e-09 2.159377e-07 6.498926e-03
2.733573e-05 2.693366e-09 2.159377e-07 6.498926e-03
2.785539e-05 2.607922e-09 2.159377e-07 6.498926e-03
2.838492e-05 2.525838e-09 2.159377e-07 6.498926e-03
2.892452e-05 2.446958e-09 2.159377e-07 6.498926e-03
2.947439e-05 2.371137e-09 2.159377e-07 6.498926e-03
3.003470e-05 2.298238e-09 2.159377e-07 6.498926e-03
3.060566e-05 2.228129e-09 2.159377e-07 6.498926e-03
3.118748e-05 2.160688e-09 2.159377e-07 6.498926e-03
3.178036e-05 2.095796e-09 2.159377e-07 6.498926e-03
3.238451e-05 2.033342e-09 2.159377e-07 6.498926e-03
3.300015e-05 1.973219e-09 2.159377e-07 6.498926e-03
3.362749e-05 1.915328e-09 2.159377e-07 6.498926e-03
3.426675e-05 1.859573e-09 2.159377e-07 6.498926e-03
3.491817e-05 1.805862e-09 2.159377e-07 6.498926e-03
3.558197e-05 1.754109e-09 2.159377e-07 6.498926e-03
3.625839e-05 1.704232e-09 2.159377e-07 6.498926e-03
3.694767e-05 1.656154e-09 2.159377e-07 6.498926e-03
3.765005e-05 1.609798e-09 2.159377e-07 6.498926e-03
3.836579e-05 1.565095e-09 2.159377e-07 6.498926e-03
3.909513e-05 1.521977e-09 2.159377e-07 6.498926e-03
3.983834e-05 1.480379e-09 2.159377e-07 6.498926e-03
4.059567e-05 1.440241e-09 2.159377e-07 6.498926e-03
4.136740e-05 1.401503e-09 2.159377e-07 6.498926e-03
4.215380e-05 1.364110e-09 2.159377e-07 6.498926e-03
4.295515e-05 1.328009e-09 2.159377e-07 6.498926e-03
4.377174e-05 1.293149e-09 2.159377e-07 6.498926e-03
4.460385e-05 1.259480e-09 2.159377e-07 6.498926e-03
4.545178e-05 1.226958e-09 2.159377e-07 6.498926e-03
4.631582e-05 1.195538e-09 2.159377e-07 6.498926e-03
4.719630e-05 1.165177e-09 2.159377e-07 6.498926e-03
4.809351e-05 1.135835e-09 2.159377e-07 6.498926e-03
4.900777e-05 1.107474e-09 2.159377e-07 6.498926e-03
4.993942e-05 1.080056e-09 2.159377e-07 6.498926e-03
5.088878e-05 1.053547e-09 2.159377e-07 6.498926e-03
5.185618e-05 1.027911e-09 2.159377e-07 6.498926e-03
5.284198e-05 1.003118e-09 2.159377e-07 6.498926e-03
5.384652e-05 9.791359e-10 2.159377e-07 6.498926e-03
5.487015e-05 9.559351e-10 2.159377e-07 6.498926e-03
5.591324e-05 9.334874e-10 2.159377e-07 6.498926e-03
5.697616e-05 9.117655e-10 2.159377e-07 6.498926e-03
5.805929e-05 8.907433e-10 2.159377e-07 6.498926e-03
5.916301e-05 8.703959e-10 2.159377e-07 6.498926e-03
6.028771e-05 8.506993e-10 2.159377e-07 6.498926e-03
6.143379e-05 8.316305e-10 2.159377e-07 6.498926e-03
6.260165e-05 8.131676e-10 2.159377e-07 6.498926e-03
6.379172e-05 7.952894e-10 2.159377e-07 6.498926e-03
6.500442e-05 7.779757e-10 2.159377e-07 6.498926e-03
6.624016e-05 7.612070e-10 2.159377e-07 6.498926e-03
6.749940e-05 7.449646e-10 2.159377e-07 6.498926e-03
6.878258e-05 7.292307e-10 2.159377e-07 6.498926e-03
7.009015e-05 7.139880e-10 2.159377e-07 6.498926e-03
7.142257e-05 6.992201e-10 2.159377e-07 6.498926e-03
7.278033e-05 6.849111e-10 2.159377e-07 6.498926e-03
7.416390e-05 6.710457e-10 2.159377e-07 6.498926e-03
7.557377e-05 6.576093e-10 2.159377e-07 6.498926e-03
7.701044e-05 6.445879e-10 2.159377e-07 6.498926e-03
7.847442e-05 6.319679e-10 2.159377e-07 6.498926e-03
7.996624e-05 6.197364e-10 2.159377e-07 6.498926e-03
8.148641e-05 6.078808e-10 2.159377e-07 6.498926e-03
8.303548e-05 5.963892e-10 2.159377e-07 6.498926e-03
8.461400e-05 5.852500e-10 2.159377e-07 6.498926e-03
8.622253e-05 5.744522e-10 2.159377e-07 6.498926e-03
8.786164e-05 5.639849e-10 2.159377e-07 6.498926e-03
8.953190e-05 5.538381e-10 2.159377e-07 6.498926e-03
9.123392e-05 5.440017e-10 2.159377e-07 6.498926e-03
9.296829e-05 5.344664e-10 2.159377e-07 6.498926e-03
9.473564e-05 5.252229e-10 2.159377e-07 6.498926e-03
